Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
diamantino,-14.4086,-56.4461,72.97,95,100,2.71,BR,2021-03-20 23:41:26
bemidji,47.4736,-94.8803,55.4,47,1,19.57,US,2021-03-20 23:39:07
taoudenni,22.6783,-3.9836,68.52,9,0,8.72,ML,2021-03-20 23:41:27
kruisfontein,-34.0033,24.7314,62.01,86,26,12.08,ZA,2021-03-20 23:41:28
skibbereen,51.55,-9.2667,46.4,87,75,9.22,IE,2021-03-20 23:41:28
bud,39.447,-86.1758,57.2,30,1,3.44,US,2021-03-20 23:41:29
havoysund,70.9963,24.6622,32,69,75,6.91,NO,2021-03-20 23:41:29
kosugi,36.7167,137.1,69.8,56,75,6.91,JP,2021-03-20 23:41:30
chara,56.9064,118.2631,10.29,73,74,2.39,RU,2021-03-20 23:41:30
avera,33.194,-82.5271,54,50,90,12.66,US,2021-03-20 23:41:31
warri,5.5167,5.75,75.51,84,95,3.22,NG,2021-03-20 23:41:31
oranjemund,-28.55,16.4333,61.25,86,7,17.22,NA,2021-03-20 23:41:32
dunedin,-45.8742,170.5036,57.99,74,64,11.01,NZ,2021-03-20 23:41:32
turayf,31.6725,38.6637,57.2,54,0,6.91,SA,2021-03-20 23:41:33
zhaozhou,45.6833,125.3167,31.17,76,100,14.07,CN,2021-03-20 23:41:33
waingapu,-9.6567,120.2641,81.75,79,95,8.25,ID,2021-03-20 23:41:34
aleksandrov gay,50.147,48.5704,22.05,93,89,6.44,RU,2021-03-20 23:41:34
poya,-21.35,165.15,83.32,58,40,6.46,NC,2021-03-20 23:41:35
ust-karsk,52.7011,118.8077,13.78,87,64,4,RU,2021-03-20 23:41:35
san patricio,28.017,-97.5169,66,55,1,17.27,US,2021-03-20 23:41:36
vardo,70.3705,31.1107,30.4,77,50,13.31,NO,2021-03-20 23:41:36
petropavlovsk-kamchatskiy,53.0452,158.6483,24.8,46,24,4.47,RU,2021-03-20 23:41:37
hamilton,39.1834,-84.5333,59,23,1,9.22,US,2021-03-20 23:37:46
lodja,-3.4833,23.4333,68.74,97,98,1.74,CD,2021-03-20 23:41:37
wewak,-3.5534,143.6268,82.42,79,94,6.73,PG,2021-03-20 23:41:38
burnley,53.8,-2.2333,42.01,88,53,1.99,GB,2021-03-20 23:39:27
wardha,20.75,78.6167,68,83,90,2.3,IN,2021-03-20 23:41:38
fort nelson,58.8053,-122.7002,17.6,45,20,3.44,CA,2021-03-20 23:40:26
almaznyy,48.0448,40.045,32,100,20,6.71,RU,2021-03-20 23:41:39
olafsvik,64.8945,-23.7142,41.68,82,100,30.85,IS,2021-03-20 23:41:40
churapcha,62.0025,132.4325,17.04,94,98,12.75,RU,2021-03-20 23:41:40
yarkovo,57.4028,67.0786,23.72,98,98,8.66,RU,2021-03-20 23:41:41
saint-pierre,-21.3393,55.4781,78.8,73,20,6.91,RE,2021-03-20 23:41:41
marawi,7.9986,124.2928,78.01,85,31,5.01,PH,2021-03-20 23:41:42
ust-nera,64.5667,143.2,1.35,84,97,4.05,RU,2021-03-20 23:41:42
labuan,5.2767,115.2417,78.8,89,20,2.3,MY,2021-03-20 23:41:43
vilhena,-12.7406,-60.1458,73.4,94,75,3.44,BR,2021-03-20 23:41:43
santa maria,-29.6842,-53.8069,89.6,51,40,9.22,BR,2021-03-20 23:39:27
rabo de peixe,37.8,-25.5833,59,67,75,4.61,PT,2021-03-20 23:41:44
gizo,-8.103,156.8419,83.28,75,78,4.85,SB,2021-03-20 23:41:44
seoul,37.5683,126.9778,42.8,81,75,8.05,KR,2021-03-20 23:39:26
coos bay,43.3665,-124.2179,51.8,76,75,10.36,US,2021-03-20 23:41:45
great yarmouth,52.6083,1.7305,46.4,87,90,9.22,GB,2021-03-20 23:37:52
kyra,49.5776,111.9753,14.9,78,88,3.76,RU,2021-03-20 23:41:46
bjornevatn,69.6672,29.9847,24.8,80,0,5.75,NO,2021-03-20 23:41:46
innisfail,-17.5333,146.0333,79.25,77,95,3.13,AU,2021-03-20 23:37:02
kupang,-10.1667,123.5833,77,100,90,3.44,ID,2021-03-20 23:41:47
diffa,13.3154,12.6113,85.98,32,82,3.65,NE,2021-03-20 23:41:47
mar del plata,-38.0023,-57.5575,64.99,88,0,2.3,AR,2021-03-20 23:40:06
lagoa,39.05,-27.9833,57.54,79,100,14.36,PT,2021-03-20 23:41:48
komsomolskiy,40.4272,71.7189,50,87,90,6.91,UZ,2021-03-20 23:41:49
sawakin,19.1059,37.3321,75.72,59,0,4.63,SD,2021-03-20 23:41:49
mitsamiouli,-11.3847,43.2844,82.94,71,8,5.12,KM,2021-03-20 23:41:50
kuvandyk,51.4781,57.3552,18.95,96,100,5.79,RU,2021-03-20 23:41:50
kokopo,-4.352,152.2633,85.06,67,94,3.89,PG,2021-03-20 23:41:50
yarensk,62.1675,49.0916,9,97,98,4.34,RU,2021-03-20 23:41:51
lasa,46.6166,10.7002,28,68,0,11.5,IT,2021-03-20 23:41:51
nagato,34.3833,131.2,57.2,88,75,9.22,JP,2021-03-20 23:41:52
cutlerville,42.8409,-85.6636,55.4,19,1,5.75,US,2021-03-20 23:41:52
luancheng,37.8792,114.6517,39.2,33,0,11.18,CN,2021-03-20 23:41:53
kondinskoye,59.6481,67.41,13.14,93,96,10.87,RU,2021-03-20 23:41:54
la asuncion,11.0333,-63.8628,75.54,85,100,14.32,VE,2021-03-20 23:41:54
gaziantep,37.0594,37.3825,44.6,76,0,3.44,TR,2021-03-20 23:41:55
boden,65.8252,21.6886,35.6,69,15,11.5,SE,2021-03-20 23:41:55
cairns,-16.9167,145.7667,84.99,61,83,4.61,AU,2021-03-20 23:41:56
leshukonskoye,64.8989,45.7622,11.57,94,99,8.01,RU,2021-03-20 23:41:56
simao,22.7886,100.9748,64.08,49,68,1.81,CN,2021-03-20 23:41:56
semporna,4.4818,118.6112,77,88,20,2.3,MY,2021-03-20 23:41:57
caravelas,-17.7125,-39.2481,75.56,90,3,6.02,BR,2021-03-20 23:41:58
muborak,39.2553,65.1528,49.57,73,0,6.96,UZ,2021-03-20 23:41:58
imbituba,-28.24,-48.6703,78.8,83,40,6.91,BR,2021-03-20 23:38:02
mikulov,48.8056,16.6378,26.01,91,15,1.99,CZ,2021-03-20 23:41:59
rundu,-17.9333,19.7667,67.68,75,42,4.03,NA,2021-03-20 23:41:59
araouane,18.9048,-3.5265,77.4,14,8,12.21,ML,2021-03-20 23:41:59
ancud,-41.8697,-73.8203,57,86,10,3,CL,2021-03-20 23:42:00
artigas,-30.4,-56.4667,68.16,89,99,13.06,UY,2021-03-20 23:42:00
rio claro,-22.4114,-47.5614,75.2,88,0,2.3,BR,2021-03-20 23:40:04
tiznit,29.5833,-9.5,51.48,89,57,12.21,MA,2021-03-20 23:42:01
lubao,14.9167,120.55,80.6,83,75,4.61,PH,2021-03-20 23:42:01
serebryansk,49.6925,83.2892,33.8,69,75,8.95,KZ,2021-03-20 23:42:02
bushehr,28.9684,50.8385,67.69,55,0,13.98,IR,2021-03-20 23:42:03
port augusta,-32.5,137.7667,73.99,68,100,6.91,AU,2021-03-20 23:42:03
deputatskiy,69.3,139.9,-14.24,98,79,3.18,RU,2021-03-20 23:42:04
alofi,-19.0595,-169.9187,80.6,83,93,11.5,NU,2021-03-20 23:40:00
muros,42.7762,-9.0603,46.99,57,0,18.48,ES,2021-03-20 23:42:04
kieta,-6.2167,155.6333,86.27,61,89,2.86,PG,2021-03-20 23:42:05
kyzyl-suu,42.3414,78.0056,37.2,66,73,10.16,KG,2021-03-20 23:42:06
belaya gora,68.5333,146.4167,-5.37,83,0,2.42,RU,2021-03-20 23:42:06
nipawin,53.3668,-104.0009,42.8,61,1,5.75,CA,2021-03-20 23:37:22
san quintin,30.4833,-115.95,62.65,66,1,25.43,MX,2021-03-20 23:42:07
roswell,34.0232,-84.3616,55.99,24,1,6.91,US,2021-03-20 23:41:44
zakupne,49.1194,26.3376,28.06,79,0,4.81,UA,2021-03-20 23:42:07
krasnovishersk,60.4078,57.082,10.02,97,87,2.57,RU,2021-03-20 23:42:08
novovyazniki,56.1975,42.1711,20.7,93,71,8.75,RU,2021-03-20 23:42:08
hay river,60.8156,-115.7999,10.4,61,100,13.8,CA,2021-03-20 23:42:09
muscat,23.6139,58.5922,84.2,37,0,2.3,OM,2021-03-20 23:42:09
bilibino,68.0546,166.4372,-12.48,68,0,2.04,RU,2021-03-20 23:42:09
humaita,-7.5061,-63.0208,70.41,98,100,1.74,BR,2021-03-20 23:41:34
arman,59.7,150.1667,8.42,85,49,3.24,RU,2021-03-20 23:42:10
brae,60.3964,-1.353,42.8,65,90,9.22,GB,2021-03-20 23:42:10
port hedland,-20.3167,118.5667,75.2,64,75,13.8,AU,2021-03-20 23:42:11
acajutla,13.5928,-89.8275,86,37,0,4.61,SV,2021-03-20 23:42:11
biak,-0.9131,122.8766,82.22,66,100,1.59,ID,2021-03-20 23:42:12
kavaratti,10.5669,72.642,82.78,67,6,9.53,IN,2021-03-20 23:42:13
heyang,26.1011,107.473,41.05,91,100,10.16,CN,2021-03-20 23:42:13
coihaique,-45.5752,-72.0662,57.2,58,75,8.05,CL,2021-03-20 23:38:22
valparaiso,-33.0393,-71.6273,68,59,0,8.05,CL,2021-03-20 23:39:16
rocha,-34.4833,-54.3333,67.24,98,100,4.9,UY,2021-03-20 23:42:14
kochevo,59.5994,54.3125,8.87,96,77,5.55,RU,2021-03-20 23:42:15
lydenburg,-25.0978,30.4597,68,87,68,0.76,ZA,2021-03-20 23:42:15
vila velha,-20.3297,-40.2925,78.8,83,75,6.22,BR,2021-03-20 23:42:15
parker,32.7668,-97.8003,68,43,0,5.01,US,2021-03-20 23:42:16
buala,-8.145,159.5921,83.77,74,99,3.02,SB,2021-03-20 23:42:16
grandview,38.8858,-94.533,57.99,41,1,13.8,US,2021-03-20 23:42:16
sao joao da barra,-21.6403,-41.0511,76.28,86,0,8.21,BR,2021-03-20 23:42:17
panguna,-6.3164,155.4848,81.93,63,90,2.77,PG,2021-03-20 23:42:17
dubti,11.7361,41.0853,71.24,41,0,1.39,ET,2021-03-20 23:42:18
morant bay,17.8815,-76.4093,80.6,74,40,17.27,JM,2021-03-20 23:42:18
sibsagar,26.9833,94.6333,69.64,43,63,1.54,IN,2021-03-20 23:42:19
vesyegonsk,58.664,37.2604,18.57,85,86,9.71,RU,2021-03-20 23:42:19
los llanos de aridane,28.6585,-17.9182,64.4,55,75,9.22,ES,2021-03-20 23:42:20
pringsewu,-5.3582,104.9744,73.83,90,86,2.89,ID,2021-03-20 23:42:20
novovasylivka,46.8315,35.7536,33.28,91,4,8.19,UA,2021-03-20 23:42:20
sola,-13.8833,167.55,81.68,73,65,9.8,VU,2021-03-20 23:42:21
anori,-3.7728,-61.6442,72.88,98,100,3.49,BR,2021-03-20 23:42:21
kysyl-syr,63.8986,122.7617,-7.91,87,100,12.68,RU,2021-03-20 23:42:22
benguela,-12.5763,13.4055,79.18,80,100,3.83,AO,2021-03-20 23:42:22
lavrentiya,65.5833,-171,2.89,79,100,13.53,RU,2021-03-20 23:42:23
bermejo,-32.8833,-68.8,66.2,63,20,2.3,AR,2021-03-20 23:42:23
flinders,-34.5833,150.8552,69.01,92,100,4,AU,2021-03-20 23:42:24
monopoli,40.9559,17.2896,45,93,75,8.05,IT,2021-03-20 23:42:24
nowogard,53.6744,15.1163,36,93,90,10.36,PL,2021-03-20 23:42:25
el cobre,20.0489,-75.9469,78.8,78,20,5.75,CU,2021-03-20 23:42:25
niceville,30.5169,-86.4822,61,51,90,10.36,US,2021-03-20 23:42:25
hualmay,-11.0964,-77.6139,71.91,75,12,7.78,PE,2021-03-20 23:42:26
oussouye,12.485,-16.5469,71.6,88,0,2.3,SN,2021-03-20 23:42:27
fairbanks,64.8378,-147.7164,21.99,35,1,8.05,US,2021-03-20 23:40:04
puerto escondido,15.85,-97.0667,84.2,70,40,5.75,MX,2021-03-20 23:42:27
nampula,-15.1165,39.2666,71.6,94,75,4.61,MZ,2021-03-20 23:42:28
woodward,36.4337,-99.3904,66.2,36,1,24.16,US,2021-03-20 23:42:28
khanpur,28.6453,70.6567,71.02,39,98,1.97,PK,2021-03-20 23:42:29
westport,41.1415,-73.3579,48.99,43,1,5.75,US,2021-03-20 23:38:30
manjacaze,-24.7117,33.8828,68.29,94,0,1.68,MZ,2021-03-20 23:42:29
lahat,-3.8,103.5333,73.45,94,100,1.66,ID,2021-03-20 23:42:30
sant julia de loria,42.4625,1.4825,28.99,57,67,12.46,AD,2021-03-20 23:42:30
konevo,62.1215,39.3192,16.59,92,100,9.78,RU,2021-03-20 23:42:31
karratha,-20.7377,116.8463,75.65,57,0,18.03,AU,2021-03-20 23:42:31
cremona,45.2333,9.9333,41,57,82,5.01,IT,2021-03-20 23:42:32
ostrovnoy,68.0531,39.5131,15.64,93,58,12.48,RU,2021-03-20 23:42:32
nadym,65.5333,72.5167,-3.82,92,100,14.07,RU,2021-03-20 23:42:32
mogadishu,2.0371,45.3438,80.13,83,26,13.35,SO,2021-03-20 23:39:27
mirabad,30.4362,61.8383,60.31,54,60,15.37,AF,2021-03-20 23:42:33
kargopol,61.5071,38.9456,16.05,91,100,9.89,RU,2021-03-20 23:42:34
jaru,-10.4389,-62.4664,72,96,100,3.47,BR,2021-03-20 23:42:34
abu dhabi,24.4667,54.3667,73.4,60,0,4.61,AE,2021-03-20 23:42:35
ust-ordynskiy,52.805,104.7508,14,73,0,6.71,RU,2021-03-20 23:42:35
shenkursk,62.1091,42.896,14.59,92,93,9.24,RU,2021-03-20 23:42:36
jinzhou,41.1078,121.1417,38.52,34,17,24.23,CN,2021-03-20 23:42:36
broken hill,-31.95,141.4333,68,64,100,14.97,AU,2021-03-20 23:42:37
kamiiso,41.8167,140.65,35.6,93,75,13.8,JP,2021-03-20 23:42:37
santa fe,-31.6333,-60.7,70,90,100,4.23,AR,2021-03-20 23:39:57
leningradskiy,69.3833,178.4167,-9.63,85,100,2.21,RU,2021-03-20 23:42:38
colares,38.7992,-9.4469,53.01,67,0,13.06,PT,2021-03-20 23:42:39
anloga,5.7947,0.8973,82.4,83,40,9.22,GH,2021-03-20 23:42:39
mitu,1.1983,-70.1733,74.43,92,98,3.33,CO,2021-03-20 23:42:39
mont-dore,-22.2833,166.5833,82.99,99,17,12.3,NC,2021-03-20 23:42:40
basco,20.4487,121.9702,78.82,78,27,19.06,PH,2021-03-20 23:42:40
mabaruma,8.2,-59.7833,73.24,85,67,4.34,GY,2021-03-20 23:42:41
nyimba,-14.5566,30.8149,66.61,94,1,3.18,ZM,2021-03-20 23:42:41
aden,12.7794,45.0367,77.49,63,5,6.64,YE,2021-03-20 23:42:42
ust-kuyga,70.0167,135.6,-4.09,91,100,3.2,RU,2021-03-20 23:42:42
ladovskaya balka,45.6297,41.4023,35.67,92,82,9.84,RU,2021-03-20 23:42:42
monrovia,6.3005,-10.7969,75.2,94,40,4.79,LR,2021-03-20 23:38:30
ternuvate,47.8305,36.1276,31.01,94,23,6.22,UA,2021-03-20 23:42:43
nicoya,10.1483,-85.452,86,48,0,19.57,CR,2021-03-20 23:42:43
rapid valley,44.0625,-103.1463,66.2,30,1,11.5,US,2021-03-20 23:42:44
srednekolymsk,67.45,153.6833,-1.84,72,0,2.42,RU,2021-03-20 23:42:44
grasse,43.6667,6.9167,39.99,75,75,5.75,FR,2021-03-20 23:42:45
quatre cocos,-20.2078,57.7625,80.01,89,40,11.5,MU,2021-03-20 23:42:45
arrifes,37.7667,-25.7,59,67,75,6.91,PT,2021-03-20 23:42:45
tocopilla,-22.092,-70.1979,68.54,83,14,9.08,CL,2021-03-20 23:41:53
rock hill,34.9249,-81.0251,51.8,35,90,4.61,US,2021-03-20 23:40:03
vaikam,9.7667,76.4,75.2,94,20,4.14,IN,2021-03-20 23:42:46
liverpool,53.4106,-2.9779,48.2,87,75,12.66,GB,2021-03-20 23:38:32
porto santo,33.072,-16.3415,60.8,59,75,11.5,PT,2021-03-20 23:42:47
talaya,61.3833,152.75,-0.62,46,0,1.07,RU,2021-03-20 23:42:47
beira,-19.8436,34.8389,74.43,83,0,2.42,MZ,2021-03-20 23:42:48
zhuanghe,39.7008,122.9911,35.96,65,0,20.07,CN,2021-03-20 23:42:48
kharp,66.8014,65.8081,-7.51,84,100,1.66,RU,2021-03-20 23:42:48
coquimbo,-29.9533,-71.3436,62.6,72,0,10.36,CL,2021-03-20 23:38:38
freetown,8.484,-13.2299,80.6,74,47,9.22,SL,2021-03-20 23:42:49
sao sebastiao,-23.76,-45.4097,76.8,91,42,7.52,BR,2021-03-20 23:42:50
bonthe,7.5264,-12.505,77.11,74,15,5.46,SL,2021-03-20 23:42:50
aykhal,66,111.5,-33.05,96,100,39.59,RU,2021-03-20 23:42:51
aswan,24.0934,32.907,75.02,22,0,2.06,EG,2021-03-20 23:42:51
peniche,39.3558,-9.3811,51.01,76,0,11.97,PT,2021-03-20 23:42:52
xuddur,4.1213,43.8894,74.35,84,1,14.34,SO,2021-03-20 23:42:52
clyde river,70.4692,-68.5914,-20.2,76,1,0.81,CA,2021-03-20 23:42:53
yumen,40.2833,97.2,23.18,30,0,6.64,CN,2021-03-20 23:42:53
jiwani,25.05,61.7417,76.84,68,15,4.52,PK,2021-03-20 23:42:54
maragogi,-9.0122,-35.2225,77.76,82,0,7.52,BR,2021-03-20 23:42:54
truckee,39.328,-120.1833,37.99,60,40,10.36,US,2021-03-20 23:40:55
balan,46.6505,25.8083,32,62,100,2.06,RO,2021-03-20 23:42:54
ulaangom,49.9811,92.0667,2.46,89,94,2.77,MN,2021-03-20 23:42:55
richards bay,-28.783,32.0377,71.29,93,55,3.33,ZA,2021-03-20 23:42:55
bocas del toro,9.3333,-82.25,64,65,52,11.01,PA,2021-03-20 23:42:56
tabuk,17.4189,121.4443,77.68,85,79,3.11,PH,2021-03-20 23:42:56
san rafael,-34.6177,-68.3301,65.89,35,0,8.88,AR,2021-03-20 23:42:57
partizanskoye,55.5006,94.39,22.32,71,100,4.79,RU,2021-03-20 23:42:57
paita,-5.0892,-81.1144,80.6,69,0,9.22,PE,2021-03-20 23:42:58
clarksburg,39.2807,-80.3445,55.4,19,1,8.05,US,2021-03-20 23:42:58
hirara,24.8,125.2833,71.6,88,75,10.36,JP,2021-03-20 23:42:58
palu,-0.8917,119.8707,82.24,76,96,2.06,ID,2021-03-20 23:42:59
esperance,-33.8667,121.9,57.2,100,19,12.66,AU,2021-03-20 23:42:59
caiaponia,-16.9567,-51.8103,69.26,91,37,2.77,BR,2021-03-20 23:43:00
marolambo,-20.05,48.1167,67.87,93,100,1.97,MG,2021-03-20 23:43:00
tabou,4.423,-7.3528,77.83,86,99,6.06,CI,2021-03-20 23:43:01
henties bay,-22.116,14.2845,62.01,90,4,1.99,NA,2021-03-20 23:43:01
mandalgovi,45.7625,106.2708,18.48,40,44,12.8,MN,2021-03-20 23:43:01
zhigansk,66.7697,123.3711,16.3,92,100,20.85,RU,2021-03-20 23:43:02
kroonstad,-27.6504,27.2349,57.51,81,22,1.79,ZA,2021-03-20 23:43:02
havre-saint-pierre,50.2334,-63.5986,19.4,79,40,9.22,CA,2021-03-20 23:43:03
pecos,31.4229,-103.4932,78.8,14,1,19.57,US,2021-03-20 23:43:04
bonito,-21.1211,-56.4819,73.24,96,43,1.72,BR,2021-03-20 23:43:05
saint-georges,12.0564,-61.7485,78.8,73,20,10.36,GD,2021-03-20 23:43:05
kibala,9.1104,18.3463,86,39,0,4.07,TD,2021-03-20 23:43:06
banjar,-8.19,114.9675,82.4,78,75,12.66,ID,2021-03-20 23:43:06
vestmanna,62.1564,-7.1664,42.8,81,90,17.27,FO,2021-03-20 23:43:06
port hawkesbury,45.6169,-61.3485,33.8,69,1,3.44,CA,2021-03-20 23:43:07
udalguri,26.7667,92.1333,67.23,41,0,4.59,IN,2021-03-20 23:43:08
